date,matchday,opponent,minute,time_of_shot_after_entry,player,result,xg,body_part,dominant_foot,final_third_entry,entry_method,type_of_attack,pre_assist,pre_assist_type,assisted_by,assist_type,shot_type,touches_before_shot,zone,distance,shot_angle,beaten_by,linkup_play,shot_under_pressure,defenders_between,defensive_line,overload_zone,defensive_line_shape,number_in_box,transition,defensive_error,opponent_formation,
8/17/2024,1,Wolves,14,6,Benjamin White,saved,0.02,right,yes,left halfspace,normal pass,positional,n/a,normal pass,Declan Rice,normal pass,normal,1,5,medium,straight,n/a,no,yes,3,low,n/a,organized,6,no,no,4231,
8/17/2024,1,Wolves,14,3,Kai Havertz,blocked,0.07,left,yes,right halfspace,normal pass,positional,Martin Odegaard,normal pass,Thomas Partey,normal pass,normal,4,3,close,wide,n/a,no,yes,2,low,n/a,organized,5,no,no,4231,
8/17/2024,1,Wolves,15,4,Bukayo Saka,saved,0.04,left,yes,right halfspace,normal pass,positional,n/a,n/a,Thomas Partey,normal pass,normal,4,3,close,wide,Bukayo Saka,no,yes,2,low,n/a,organized,8,no,no,4231,
8/17/2024,1,Wolves,18,4,Bukayo Saka,saved,0.05,right,no,right,normal pass,positional,Bukayo Saka,normal pass,Kai Havertz,normal pass,normal,0,2,medium,straight,n/a,yes,yes,1,mid,n/a,organized,4,no,no,4231,
8/17/2024,1,Wolves,19,4,Declan Rice,off target,0.09,right,yes,right,normal pass,transition,Kai Havertz,normal pass,Bukayo Saka,driven cross,normal,0,2,close,straight,n/a,no,no,2,low,right,organized,6,yes,no,4231,
8/17/2024,1,Wolves,25,4,Kai Havertz,goal,0.38,head,no,right,dribble,positional,Oleksander Zinchenko,normal pass,Bukayo Saka,floated cross,header,0,1,very close,straight,n/a,no,yes,1,mid,n/a,organized,4,no,no,4231,
8/17/2024,1,Wolves,44,6,Gabriel Martinelli,deflected off target,0.09,right,yes,left,normal pass,positional,Oleksander Zinchenko,normal pass,Declan Rice,through ball,normal,3,4,close,narrow,n/a,yes,yes,4,mid,n/a,organized,7,no,no,4231,
8/17/2024,1,Wolves,50,7,Kai Havertz,off target,0.12,right,no,left,normal pass,transition,Declan Rice,normal pass,Gabriel Martinelli,cutback,finesse,1,2,close,straight,n/a,no,yes,1,mid,n/a,organized,6,yes,no,4231,
8/17/2024,1,Wolves,58,8,Thomas Partey,off target,0.07,left,no,left halfspace,dribble,transition,Gabriel Martinelli,normal pass,Oleksander Zinchenko,cutback,normal,0,5,medium,straight,n/a,no,no,3,mid,left,organized,6,no,no,4231,
8/17/2024,1,Wolves,70,5,Martin Odegaard,saved,0.02,left,yes,right,normal pass,positional,Declan Rice,normal pass,Bukayo Saka,normal pass,normal,1,6,medium,wide,Bukayo Saka,no,yes,4,low,n/a,organized,10,no,no,4231,
8/17/2024,1,Wolves,73,6,Bukayo Saka,goal,0.05,left,yes,left halfspace,dribble,transition,Thomas Partey,normal pass,Kai Havertz,normal pass,normal,6,3,close,wide,Bukayo Saka,no,yes,2,mid,n/a,organized,7,yes,no,4231,
8/24/2024,2,Aston Villa,7,10,Declan Rice,saved,0.04,left,no,left,dribble,transition,Gabriel Martinelli,normal pass,Bukayo Saka,floated cross,normal,0,4,close,wide,n/a,no,yes,2,low,n/a,organized,8,yes,no,442,
8/24/2024,2,Aston Villa,16,8,Bukayo Saka,saved,0.07,left,yes,left,normal pass,positional,Bukayo Saka,normal pass,Martin Odegaard,normal pass,normal,2,3,close,wide,Bukayo Saka,no,yes,2,low,right,organized,7,no,no,442,
8/24/2024,2,Aston Villa,32,4,Thomas Partey,off target,0.02,right,yes,left,normal pass,positional,n/a,n/a,Gabriel Martinelli,normal pass,normal,2,7,medium,straight,n/a,no,yes,3,mid,n/a,organized,5,no,no,442,
